taxon_scientific_name,iucn_code,worms_id
Micromussa lordhowensis,EN,886929
Urogymnus granulatus,EN,989371
Altrichthys alelia,EN,992446
Lamellomphalus manusensis,CR,993720
Ginglymostoma unami,EN,1006832
Stiphodon rubromaculatus,CR,1008691
Poecilia wingei,EN,1009116
Smilosicyopus sasali,EN,1009314
Pocillopora damicornis,EN,206953
Pocillopora ligulata,EN,206959
Seriatopora stellata,EN,206974
Stylophora wellsi,EN,206977
Stylophora subseriata,EN,206980
Stylophora mamillata,EN,206984
Acropora mossambica,EN,206988
Acropora lutkeni,EN,206994
Acropora valenciennesi,EN,206995
Acropora bushyensis,EN,206999
Acropora robusta,EN,207000
Acropora muricata,EN,207007
Acropora nasuta,EN,207009
Acropora pulchra,EN,207015
Acropora cerealis,EN,207016
Acropora glauca,EN,207017
Acropora millepora,EN,207023
Acropora anthocercis,EN,207024
Acropora grandis,EN,207031
Acropora yongei,EN,207032
Acropora intermedia,EN,207035
Acropora latistella,EN,207039
Acropora selago,EN,207040
Acropora sordiensis,EN,207041
Acropora hyacinthus,EN,207044
Acropora digitifera,EN,207045
Acropora microphthalma,EN,207046
Acropora austera,EN,207052
Acropora squarrosa,EN,207053
Acropora samoensis,EN,207055
Acropora florida,EN,207058
Acropora echinata,EN,207069
Acropora valida,EN,207072
Acropora loripes,EN,207074
Acropora clathrata,EN,207075
Acropora secale,EN,207080
Acropora abrotanoides,EN,207083
Acropora spicifera,EN,207087
Acropora humilis,EN,207094
Acropora cytherea,EN,207095
Acropora gemmifera,EN,207097
Acropora nana,EN,207100
Acropora monticulosa,EN,207103
Acropora tenuis,EN,207105
Acropora divaricata,EN,207106
Acropora eurystoma,EN,207108
Acropora elseyi,EN,207113
Acropora longicyathus,EN,207114
Astreopora listeri,EN,207125
Astreopora randalli,EN,207127
Astreopora incrustans,EN,207131
Montipora foveolata,EN,207133
Montipora spongodes,EN,207135
Montipora mollis,EN,207137
Montipora spumosa,EN,207138
Montipora venosa,EN,207139
Montipora aequituberculata,EN,207144
Montipora patula,CR,207149
Montipora circumvallata,EN,207150
Montipora danae,EN,207152
Montipora tuberculosa,EN,207156
Montipora efflorescens,EN,207163
Montipora hispida,EN,207164
Montipora friabilis,EN,207165
Montipora undata,EN,207167
Montipora spongiosa,EN,207168
Montipora effusa,EN,207169
Montipora stellata,EN,207179
Montipora peltiformis,EN,207180
Montipora foliosa,EN,207182
Montipora digitata,EN,207185
Montipora informis,EN,207186
Montipora maeandrina,EN,207188
Alveopora daedalea,EN,207200
Alveopora ocellata,EN,207202
Pavona duerdeni,EN,207315
Pectinia lactuca,EN,207378
Lobophyllia diminuta,EN,207389
Lobophyllia hemprichii,EN,207392
Oulophyllia crispa,EN,207485
Haliotis midae,EN,207660
Haliotis mariae,EN,207664
Paranemonia vouliagmeniensis,EN,100831
Edwardsia ivelli,CR,100888
Carcharhinus obscurus,EN,105796
Carcharhinus signatus,EN,105798
Paragaleus pectoralis,EN,105803
Sphyrna mokarran,CR,105817
Sphyrna tudes,CR,105818
Mustelus mustelus,EN,105822
Cetorhinus maximus,EN,105837
Isurus paucus,EN,105840
Carcharias taurus,CR,105843
Odontaspis ferox,EN,105844
Rhincodon typus,EN,105847
Himantura uarnak,EN,105854
Gymnura altavela,EN,105856
Mobula mobular,EN,105858
Mobula tarapacana,EN,105859
Myliobatis aquila,CR,105860
Rhinoptera marginata,CR,105862
Dipturus batis,CR,105869
Dipturus nidarosiensis,EN,105871
Leucoraja circularis,EN,105873
Leucoraja melitensis,CR,105875
Raja radula,EN,105889
Rostroraja alba,EN,105896
Centrophorus granulosus,EN,105899
Centrophorus squamosus,EN,105901
Centrophorus uyato,EN,105902
Oxynotus centrina,EN,105914
Echinorhinus brucus,EN,105922
Anguilla anguilla,CR,126281
Alosa alosa,CR,126413
Merluccius senegalensis,EN,126485
Pseudotolithus senegalensis,EN,127008
Canthigaster sanctaehelenae,EN,127412
Crassophyllum thessalonicae,EN,128513
Cladocora caespitosa,EN,135146
Pinna nobilis,CR,140780
Orcaella brevirostris,EN,148732
Rhina ancylostomus,CR,148846
Mobula hypostoma,EN,158530
Coryphaenoides rupestris,CR,158960
Thalassarche chlororhynchos,EN,159069
Sutilizona pterodon,EN,180880
Millepora alcicornis,EN,210726
Millepora intricata,EN,210727
Millepora tenera,EN,210729
Millepora platyphylla,EN,210730
Millepora dichotoma,EN,210733
Thelenota ananas,EN,210916
Ctenella chagius,CR,211419
Lethrinus mahsena,EN,212075
Hippocampus capensis,EN,212234
Hippocampus whitei,EN,212235
Charadrius mongolus,EN,212614
Phoebetria fusca,EN,212632
Pterodroma incerta,EN,212641
Ardeola idae,EN,212670
Phalacrocorax capensis,EN,212702
Rhinobatos schlegelii,CR,213640
Mustelus manazo,EN,214561
Carcharhinus amblyrhynchos,EN,217337
Carcharhinus dussumieri,EN,217347
Negaprion acutidens,EN,217356
Squalus mitsukurii,EN,217371
Rhynchobatus djiddensis,CR,217378
Torpedo panthera,EN,217381
Himantura undulata,EN,217413
Urogymnus asperrimus,EN,217424
Aetobatus narinari,EN,217426
Aetomylaeus vespertilio,CR,217427
Aetomylaeus maculatus,EN,217428
Rhinoptera javanica,EN,217429
Mobula thurstoni,EN,217430
Mobula kuhlii,EN,217436
Haploblepharus edwardsii,EN,217646
Holohalaelurus punctatus,EN,217647
Syngnathus watermeyeri,EN,218044
Chrysoblephus cristiceps,CR,218597
Chrysoblephus gibbiceps,EN,218598
Lithognathus lithognathus,EN,218604
Petrus rupestris,EN,218611
Polysteganus undulosus,CR,218617
Argyrosomus thorpei,EN,218629
Argyrosomus japonicus,EN,218633
Cheilinus undulatus,EN,218945
Clinus latipennis,EN,219195
Clinus spatulatus,EN,219201
Thunnus maccoyii,EN,219720
Alopias pelagicus,EN,220019
Pseudoginglymostoma brevicaudatum,CR,220031
Morus capensis,EN,221026
Eptatretus octatrema,CR,221465
Conus bruguieresi,EN,224282
Conus echinophilus,EN,224286
Conus mercator,EN,224287
Conus belairensis,EN,224294
Conus cloveri,EN,224297
Conus unifasciatus,EN,224304
Conus ateralbus,EN,224798
Conus crotchii,EN,224817
Conus cuneolus,EN,224821
Conus lugubris,CR,224925
Thalassarche carteri,EN,225758
Thalassarche chrysostoma,EN,225760
Puffinus huttoni,EN,225901
Procellaria westlandica,EN,225904
Pterodroma baraui,EN,225920
Numenius madagascariensis,EN,225934
Phalacrocorax featherstoni,EN,225998
Pachyptila macgillivrayi,CR,226025
Phocarctos hookeri,EN,231422
Bathyraja griseocauda,EN,234586
Pseudochaenichthys georgianus,EN,234667
Sonneratia griffithii,CR,235110
Heritiera fomes,EN,235117
Heritiera globosa,EN,235118
Tachypleus tridentatus,EN,238270
Apostichopus japonicus,EN,241776
Typhlatya iliffei,CR,246477
Platalea minor,EN,1753853
Puffinus bryani,CR,1753854
Leucocarbo onslowi,CR,1773448
Pomatoschistus anatoliae,EN,1165313
Isopora palifera,EN,730686
Isopora brueggemanni,EN,730688
Isopora togianensis,EN,730689
Chrysomallon squamiferum,EN,736932
Acropora lovelli,EN,740834
Meandrina jacksoni,CR,742401
Pocillopora aliciae,EN,742669
Solemya flava,CR,743488
Porites randalli,EN,758221
Dipsastraea lizardensis,EN,758225
Dipsastraea laxa,EN,758235
Pocillopora acuta,EN,759099
Porites superfusa,EN,759336
Favites valenciennesii,EN,763525
Lobophyllia dentata,EN,763791
Lobophyllia serrata,EN,763793
Montipora verruculosa,EN,763794
Seriatopora guttata,EN,763800
Goniopora tantillus,EN,764222
Alviniconcha kojimai,EN,827396
Alviniconcha boucheti,EN,827397
Alviniconcha marisindica,EN,827398
Alviniconcha adamantis,EN,827400
Akihito futuna,CR,834883
Eugnathogobius stictos,EN,834886
Myliobatis ridens,CR,835027
Hypleurochilus brasil,EN,835048
Upeneus saiab,EN,835111
Elacatinus cayman,EN,835177
Elacatinus centralis,EN,835178
Eviota aquila,EN,835180
Tigrigobius harveyi,EN,835186
Rhinobatos whitei,CR,835214
Pastinachus stellurostris,CR,835221
Rhynchobatus immaculatus,CR,835233
Gigantopelta aegis,CR,853164
Porites mannarensis,EN,862573
Aetomylaeus bovinus,CR,871951
Provanna subglabra,EN,874719
Provanna lucida,CR,874721
Provanna clathrata,EN,874722
Stiphodon julieni,EN,1009810
Acanthogobius insularis,EN,1010684
Stiphodon discotorquatus,CR,1010844
Urogymnus polylepis,EN,1011468
Notoglanidium akiri,EN,1011719
Acroteriobatus variegatus,CR,1012968
Beringraja pulchra,EN,1015739
Acroteriobatus leucospilus,EN,1016293
Sicyopterus sarasini,EN,1017136
Gillichthys detrusus,EN,1019117
Glaucostegus obtusus,CR,1022265
