is_ok,component,common_name,scientific_name,redlist_code_max,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,n_datasets,taxon_authority,taxon_id,model_id
TRUE,bird,Ross's Gull,Rhodostethia rosea,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694476,17986
TRUE,bird,Royal Tern,Thalasseus maximus,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22694542,18048
TRUE,bird,Ruddy Turnstone,Arenaria interpres,NT,IUCN:NT,2,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693336,17614
TRUE,bird,Rusty Blackbird,Euphagus carolinus,VU,FWS:LC,10,FALSE,TRUE,TRUE,NA,NA,1,botw,22724329,17735
TRUE,bird,Sabine's Gull,Xema sabini,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694479,18084
TRUE,bird,Sanderling,Calidris alba,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693369,18132
TRUE,bird,Sandwich Tern,Thalasseus sandvicensis,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694591,18049
TRUE,bird,Scripps's Murrelet,Synthliboramphus scrippsi,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,62101249,18042
TRUE,bird,Semipalmated Plover,Charadrius semipalmatus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693764,17681
TRUE,bird,Semipalmated Sandpiper,Calidris pusilla,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22693373,17655
TRUE,bird,Sharp-tailed Sandpiper,Calidris acuminata,VU,IUCN:VU,5,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693414,17645
TRUE,bird,Short-billed Dowitcher,Limnodromus griseus,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22693344,17829
TRUE,bird,Short-tailed Albatross,Phoebastria albatrus,EN,FWS:EN,100,FALSE,TRUE,FALSE,TRUE,NA,3,botw,22698335,NA
TRUE,bird,Short-tailed Shearwater,Ardenna tenuirostris,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22698216,17613
TRUE,bird,Siberian Sandplover,Charadrius mongolus,EN,IUCN:EN,25,FALSE,FALSE,FALSE,TRUE,NA,1,botw,230027154,18253
TRUE,bird,Siberian Scoter,Melanitta stejnegeri,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22724845,17854
TRUE,bird,Slaty-backed Gull,Larus schistisagus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694362,17821
