worms_id,botw_id,redlist_code,worms_id_url,scientific_names_dataset,scientific_names_dataset_url,scientific_name_accepted,taxon_rank,common_name,taxonomic_group,entity_descriptions,lead_agency,fws_esa,fws_esa_all,is_bcc
254310,22694875,NT,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254310,Brachyramphus brevirostris,https://ecos.fws.gov/ecp/species/1633,Brachyramphus brevirostris,Species,Kittlitz's murrelet,Birds,Wherever found,FWS,LC,LC,TRUE
254308,22694870,EN,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254308,Brachyramphus marmoratus,https://ecos.fws.gov/ecp/species/4467,Brachyramphus marmoratus,Species,Marbled Murrelet,Birds,"U.S.A. (CA, OR, WA); Entire, except U.S.A. (CA, OR, WA)",FWS,TN,TN,TRUE
1148645,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1148645,Branchinecta campestris,https://ecos.fws.gov/ecp/species/11141,Branchinecta campestris,Species,Pocket-Pouch Fairy Shrimp,Crustaceans,NA,FWS,LC,LC,FALSE
1148649,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1148649,Branchinecta conservatio,https://ecos.fws.gov/ecp/species/8246,Branchinecta conservatio,Species,Conservancy fairy shrimp,Crustaceans,Wherever found,FWS,EN,EN,FALSE
1214290,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1214290,Branchinecta longiantenna,https://ecos.fws.gov/ecp/species/4294,Branchinecta longiantenna,Species,Longhorn fairy shrimp,Crustaceans,Wherever found,FWS,EN,EN,FALSE
1214291,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1214291,Branchinecta lynchi,https://ecos.fws.gov/ecp/species/498,Branchinecta lynchi,Species,Vernal pool fairy shrimp,Crustaceans,Wherever found,FWS,TN,TN,FALSE
1214296,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1214296,Branchinecta mesovallensis,https://ecos.fws.gov/ecp/species/6669,Branchinecta mesovallensis,Species,Midvalley Fairy Shrimp,Crustaceans,Wherever found,FWS,LC,LC,FALSE
1214326,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1214326,Branchinecta sandiegonensis,https://ecos.fws.gov/ecp/species/6945,Branchinecta sandiegonensis,Species,San Diego fairy shrimp,Crustaceans,Wherever found,FWS,EN,EN,FALSE
275500,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275500,Brevoortia patronus,https://ecos.fws.gov/ecp/species/11353,Brevoortia patronus,Species,Gulf Menhaden,Fishes,NA,FWS,LC,LC,FALSE
158691,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158691,Brevoortia tyrannus,https://ecos.fws.gov/ecp/species/11355,Brevoortia tyrannus,Species,Atlantic Menhaden,Fishes,NA,FWS,LC,LC,FALSE
