aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
232731,Lepidodinium viride,Myzozoa,Dinophyceae,264,33,2006,2021,FALSE,FALSE,available
136903,Paulinella ovalis,Cercozoa,Imbricatea,49,33,1974,1980,FALSE,FALSE,available
145544,Fucus distichus,Ochrophyta,Phaeophyceae,1140,33,1905,2023,FALSE,FALSE,available
759947,Megasyllis nipponica,Annelida,Polychaeta,148,33,2000,2019,FALSE,FALSE,NA
208944,Madracis kauaiensis,Cnidaria,Hexacorallia,126,32,1902,2009,FALSE,FALSE,NA
109578,Amoebophrya ceratii,Myzozoa,Dinophyceae,96,32,2021,2021,FALSE,FALSE,available
422543,Eusynstyela floridana,Chordata,Ascidiacea,69,32,1885,2019,FALSE,FALSE,NA
107537,Trachycaris restricta,Arthropoda,Malacostraca,53,32,1885,2016,FALSE,FALSE,available
102403,Ericthonius difformis,Arthropoda,Malacostraca,46,32,1955,2017,FALSE,FALSE,available
124989,Ophiacantha fraterna,Echinodermata,Ophiuroidea,47,32,1873,1985,FALSE,FALSE,available
126745,Normichthys operosus,Chordata,Teleostei,65,32,2002,2008,FALSE,FALSE,available
1356824,Symphyocladiella dendroidea,Rhodophyta,Florideophyceae,58,32,2001,2021,FALSE,FALSE,NA
158266,Clavularia modesta,Cnidaria,Octocorallia,88,32,1873,2009,FALSE,FALSE,NA
113042,Bulimina marginata,Foraminifera,Globothalamea,201,32,1983,1997,FALSE,FALSE,available
464142,Divaricella dentata,Mollusca,Bivalvia,61,32,1926,2011,FALSE,FALSE,NA
615468,Chrysochromulina campanulifera,Haptophyta,Coccolithophyceae,150,32,2021,2021,FALSE,FALSE,NA
418046,Melonis affinis,Foraminifera,Globothalamea,165,32,1978,1997,FALSE,FALSE,available
327421,Chaetozone hartmanae,Annelida,Polychaeta,39,32,2003,2003,FALSE,FALSE,NA
423170,Augeneria albidentata,Annelida,Polychaeta,96,32,1975,1983,FALSE,FALSE,not available
171875,Regadrella okinoseana,Porifera,Hexactinellida,32,32,2004,2015,FALSE,FALSE,NA
338345,Fimbriosthenelais hobbsi,Annelida,Polychaeta,59,32,1994,2015,FALSE,FALSE,NA
330087,Odontosyllis phosphorea,Annelida,Polychaeta,48,32,1914,2019,FALSE,FALSE,NA
1313606,Melanothamnus sphaerocarpus,Rhodophyta,Florideophyceae,72,32,1942,2004,FALSE,FALSE,available
380745,Benthopecten acanthonotus,Echinodermata,Asteroidea,35,32,1889,1984,FALSE,FALSE,NA
423554,Neptunea amianta,Mollusca,Gastropoda,216,32,1961,2009,FALSE,FALSE,NA
131494,Lanassa venusta,Annelida,Polychaeta,55,32,1976,2006,FALSE,FALSE,available
730683,Tanseimaruana vestis,Annelida,Polychaeta,185,32,1983,1986,FALSE,FALSE,not available
181931,Diastylis bidentata,Arthropoda,Malacostraca,41,32,1975,2003,FALSE,FALSE,NA
471745,Discoporella umbellata,Bryozoa,Gymnolaemata,295,32,1885,1995,FALSE,FALSE,available
1423136,Regioscalpellum regium,Arthropoda,Thecostraca,34,32,2000,2000,FALSE,FALSE,not available
418845,Chironephthya agassizii,Cnidaria,Octocorallia,105,32,1879,2017,FALSE,FALSE,NA
329125,Magelona berkeleyi,Annelida,Polychaeta,36,32,1978,2003,FALSE,FALSE,NA
419546,Vermicularia knorrii,Mollusca,Gastropoda,59,32,1939,2019,FALSE,FALSE,NA
111186,Amphiblestrum auritum,Bryozoa,Gymnolaemata,67,32,1882,1982,FALSE,FALSE,available
376277,Bigelowiella natans,Chlorarachniophyta,Chlorarachniophyceae,228,32,2014,2023,FALSE,FALSE,NA
514112,Allosergestes pectinatus,Arthropoda,Malacostraca,33,32,1965,1984,FALSE,FALSE,available
261333,Munnogonium tillerae,Arthropoda,Malacostraca,38,32,1987,2019,FALSE,FALSE,NA
